glycan_id,glycan,species,immunogenicity,inferred_origin,link,genus,family,order,class,phylum,kingdom,domain
4250,[Xyl(b1-2)]Man(a1-3)[Xyl(b1-2)]Man(a1-3)[GlcA(b1-2)]Man(a1-3)Man,['Cryptococcus_neoformans'],,,,['Cryptococcus'],['Tremellaceae'],['Tremellales'],['Tremellomycetes'],['Basidiomycota'],['Fungi'],['Eukarya']
4251,GlcNAc(b1-2)Man(a1-6)DDGlcHep,,,Mammalia,,,,,,,,
4252,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-3)Fuc(a1-4)Kdn(a2-6)]GalNAc,,,Chordata,,,,,,,,
4253,Fuc(a1-2)Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc,"['Rana_temporaria', 'Rhinella_arenarum']",,,,"['Rana', 'Rhinella']","['Bufonidae', 'Ranidae']",['Anura'],['Amphibia'],['Chordata'],['Animalia'],['Eukarya']
4254,D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-2)D-RhaOMe(a1-3)[GlcNAcOMe(b1-2)]D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-3)D-RhaGro,['Mesorhizobium_loti'],,,,['Mesorhizobium'],['Phyllobacteriaceae'],['Rhizobiales'],['Alphaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4255,D-Fuc(b1-3)D-Fuc(b1-2)Araf,,,Dicotyledons,,,,,,,,
4256,Glc(a1-1)[Glc(b1-6)]Glc,,,Bacteria,,,,,,,,
4257,GalNAc(b1-3)Gal(a1-3)Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc,,,Bacteria,,,,,,,,
4258,GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man,,,Mammalia,,,,,,,,
4259,Xyl(b1-4)Xyl(b1-2)Xyl,,,Angiosperms,,,,,,,,
4260,GalOMe(b1-3)[GalOMe(b1-6)]GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[GalOMe(b1-6)GalOMe(b1-3)[GalOMe(b1-6)]GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)][Xylf(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Animalia,,,,,,,,
4261,Kdn(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc,,,Chordata,,,,,,,,
4262,Glc(b1-4)Glc(b1-4)GlcA,['Amaranthus_spinosus'],,,,['Amaranthus'],['Amaranthaceae'],['Caryophyllales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya']
4263,[GlcNAc(b1-2)]Man(b1-4)Glc(b1-3)D-FucNAcOAc(a1-4)[Glc(b1-6)]GalNAc(a1-3)Man,['Citrobacter_gillenii'],,,,['Citrobacter'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4264,Man(a1-6)[Man(a1-2)][Galf(b1-4)]Man(a1-6)Man(a1-6)Man,['Umbilicaria_esculenta'],,,,['Umbilicaria'],['Umbilicariaceae'],['Umbilicariales'],['Lecanoromycetes'],['Ascomycota'],['Fungi'],['Eukarya']
4265,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-4)Gal(b1-4)Glc,,,Bacteria,,,,,,,,
