seqs,preds,method
"['Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', '2,5-Anhydro-Man-ol', 'a1-6', 'GlcNAc', '1-1', '1-1']",4.1013996e-06,Mutated-Random
"['2,5-Anhydro-Man', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00029035102,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-3']",0.00022500058,Mutated-Random
"['GlcA', 'a1-2', 'Galf', '1-4', 'Galf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",5.1861266e-06,Mutated-Random
"['D-FucNAc', 'b1-4', 'QuiNAc', 'b1-3', '1-4', 'a1-3', 'D-FucNAc', '1-1', '1-1', '1-1', '1-1']",5.6132144e-06,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '2,5-Anhydro-Man', '1-1', '1-1', '1-1', '1-1', '1-1']",6.79616e-05,Mutated-Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', '2,5-Anhydro-Man-ol']",3.9454426e-05,Mutated-Random
"['Galf', 'a1-2', '1dEry-ol', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",4.718904e-06,Mutated-Random
"['RhaOS', 'a1-3', 'Man', '1dAlt-ol', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0017935518,Mutated-Random
"['Gal', 'b1-3', '1-1', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00015875608,Mutated-Random
"['Glc', 'b1-2', '1dEry-ol', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.4306528e-05,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', '1dEry-ol', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0038062644,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-6', '1-1', '1-1', '1-1', '1-1']",0.0010886745,Mutated-Random
"['Glc', 'b1-2', 'Glc', 'b1-4', '2,5-Anhydro-Man-ol', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.0735328e-05,Mutated-Random
"['GlcNAc', 'b1-3', 'GlcNAc', '1-4', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.409143e-06,Mutated-Random
"['Glc', '1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.9437845e-06,Mutated-Random
"['ManOMe', 'a1-2', 'Man', 'a1-2', '2,5-Anhydro-Man-ol', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00050479063,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '2,5-Anhydro-Man-ol', '1-1', '1-1']",0.00031900746,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1dEry-ol', '1-1']",0.0027869705,Mutated-Random
